region,sector,value_mwh,year
ARMM,Total Sales,467348.0,2025
CAR,Total Sales,795035.0,2025
NCR,Total Sales,27260668.0,2025
I,Total Sales,3426234.0,2025
II,Total Sales,1840691.0,2025
III,Total Sales,15461957.0,2025
IV-A,Total Sales,22632664.0,2025
IV-B,Total Sales,1217399.0,2025
V,Total Sales,2276512.0,2025
VI,Total Sales,2721964.0,2025
VII,Total Sales,6927089.0,2025
VIII,Total Sales,1714893.0,2025
IX,Total Sales,1643194.0,2025
X,Total Sales,3847709.0,2025
XI,Total Sales,4619577.0,2025
XII,Total Sales,2597314.0,2025
XIII,Total Sales,1412309.0,2025
